Crediti totali arc prog
51.35,14.85,12.38,9.99,9.49,9.23,8.85,7.77,7.63 ,3.45,2.93,2.64,2.46,2.43,2.40,2.36,2.28,2.28,2.00,1.86,1.83,1.78,1.73,1.60,1.60,1.25,1.21,1.11,1.11,1.10,1.08,1.06,1.04,1.02,1.02,0.98,0.96,0.96,0.95,0.95,0.90,0.83,0.81,0.78,0.78,0.78,0.74,0.74,0.73

ASD ARC PROG ANI MDL
145.16,106.2,92.73,72.22,54.98,46.98,44.04,42.16, 32.11, 31.58, 25.87, 21.38, 21.04, 20.69, 18.72, 18.38, 16.72, 16.64, 14.79, 12.44, 12.15, 11.66, 9.78, 9.64, 9.52, 9.38, 9.34, 9.09, 9.04, 8.97, 8.79, 7.09, 6.96, 6.88, 5.96, 5.95, 5.92, 5.46, 5.29, 5.22, 4.90, 4.89, 4.85, 4.78, 4.77, 4.63, 4.34, 4.31, 4.28

voto medio e test
2 12.5
3 9.7
4 7.4
5 6.54
6 4.87
7 4.22
8 3.82
9 3.52
10 2.94
11 2.75
12 2.57
13 2.3
14 1.97
15 1.88
16 1.76
17 1.71
18 1.58
19 1.48
20 1.43
21 1.36
22 1.29
23 1.24
24 1.15
25 1.1
26 1.07
27 1.03
28 1.01
29 1
30 0.99
31 0.97
32 0.92
33 0.83
34 0.82
35 0.79
36 0.78
37 0.77
38 0.76
39 0.74
40 0.71
41 0.7
42 0.69	
43 0.66
44 0.66
45 0.64
46 0.63
47 0.56
48 0.56
49 0.52
50 0.52
