coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST
2010,12,12,22,22,2011-06-15,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,13
2010,39,36,27,28,2011-07-06,0,0000-00-00,25,2011-09-23,29,2011-07-26,0,0000-00-00,0,2011-06-21,22
2010,60,57,29,31,2011-06-15,30,2011-08-30,28,2011-06-20,28,2011-06-10,30,2011-07-07,0,2011-10-18,16
2010,48,45,27,26,2011-06-15,0,0000-00-00,23,2011-06-20,30,2011-09-09,30,2011-07-27,0,2011-10-04,19
2010,39,36,25,26,2011-06-15,0,0000-00-00,26,2011-07-11,23,2011-09-09,0,0000-00-00,0,2011-06-09,18
2010,39,36,24,24,2011-06-15,0,0000-00-00,24,2011-07-11,24,2011-09-09,0,0000-00-00,0,2011-10-25,15
2010,24,24,31,0,0000-00-00,0,0000-00-00,31,2011-07-22,30,2011-06-10,0,0000-00-00,0,0000-00-00,18
2010,15,12,18,18,2011-07-22,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2011-06-21,11
2010,24,24,20,21,2011-07-06,0,0000-00-00,0,0000-00-00,19,2011-09-09,0,0000-00-00,0,0000-00-00,11
2010,39,36,26,27,2011-07-22,0,0000-00-00,24,2011-07-11,28,2011-07-01,0,0000-00-00,0,2011-02-22,13
2010,60,57,29,30,2011-07-06,29,2011-09-13,26,2011-06-20,31,2011-06-10,27,2011-07-25,0,2011-09-27,19
2010,60,57,27,28,2011-06-15,28,2011-08-30,27,2011-07-11,28,2011-07-26,23,2011-07-05,0,2011-09-22,17
2010,15,12,22,22,2011-07-22,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2011-05-17,14
2010,21,21,25,28,2011-07-06,0,0000-00-00,0,0000-00-00,0,0000-00-00,21,2011-09-19,0,0000-00-00,20
2010,48,45,26,30,2011-06-15,27,2011-08-30,28,2011-06-20,0,0000-00-00,20,2011-07-07,0,2011-06-23,14
2010,12,12,25,25,2011-06-15,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,17
2010,9,9,20,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,20,2011-07-26,0,0000-00-00,17
2010,60,57,29,30,2011-06-15,28,2011-09-13,30,2011-06-20,30,2011-09-09,28,2011-07-05,0,2011-11-29,21
2010,45,45,27,30,2011-07-06,0,0000-00-00,26,2011-09-23,30,2011-06-10,23,2011-07-26,0,0000-00-00,17
2010,12,12,22,22,2011-09-21,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,9
2010,45,45,29,28,2011-06-15,0,0000-00-00,31,2011-07-22,30,2011-07-01,27,2011-09-19,0,0000-00-00,18
2010,24,24,25,23,2011-07-06,0,0000-00-00,26,2011-06-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,16
2010,12,12,25,25,2011-07-06,0,0000-00-00,25,2011-09-23,0,0000-00-00,0,0000-00-00,0,0000-00-00,10
2010,24,24,27,27,2011-06-15,0,0000-00-00,27,2011-06-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,20
2010,12,12,18,18,2011-07-26,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,12
2010,12,12,26,26,2011-07-26,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,15
2010,12,12,24,24,2011-09-21,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,10
2010,15,12,25,25,2011-07-06,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2011-05-10,14
2010,12,12,30,0,0000-00-00,0,0000-00-00,0,0000-00-00,30,2011-07-26,0,0000-00-00,0,0000-00-00,18
2011,12,12,26,0,0000-00-00,0,0000-00-00,0,0000-00-00,26,2012-07-27,0,0000-00-00,0,0000-00-00,18
2011,12,12,27,0,0000-00-00,0,0000-00-00,0,0000-00-00,27,2012-07-27,0,0000-00-00,0,0000-00-00,14
2011,27,24,23,0,0000-00-00,0,0000-00-00,22,2012-07-25,24,2012-07-06,0,0000-00-00,0,2012-11-13,17
2011,24,24,22,23,2012-09-18,0,0000-00-00,20,2012-09-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,12
2011,33,33,26,28,2012-07-11,0,0000-00-00,28,2012-09-20,0,0000-00-00,22,2012-09-13,0,0000-00-00,19
2011,15,12,25,25,2012-09-21,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2012-06-25,14
2011,60,57,23,25,2012-09-21,20,2012-06-18,22,2012-09-20,26,2012-09-21,22,2012-07-12,0,2012-03-20,17
2011,36,36,28,28,2012-07-31,25,2012-07-17,30,2012-06-21,0,0000-00-00,0,0000-00-00,0,0000-00-00,13
2011,27,24,23,23,2012-07-11,0,0000-00-00,22,2012-07-25,0,0000-00-00,0,0000-00-00,0,2012-01-19,16
2011,24,24,24,25,2012-06-19,0,0000-00-00,22,2012-07-10,0,0000-00-00,0,0000-00-00,0,0000-00-00,0
2011,15,12,20,20,2012-09-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2012-01-25,16
2011,36,36,26,27,2012-09-18,0,0000-00-00,27,2012-09-20,24,2012-07-06,0,0000-00-00,0,0000-00-00,20
2011,36,36,29,30,2012-06-22,0,0000-00-00,28,2012-07-10,30,2012-07-27,0,0000-00-00,0,0000-00-00,17
2011,57,57,24,27,2012-07-11,23,2012-07-30,24,2012-07-10,28,2012-06-22,20,2012-06-14,0,0000-00-00,19
2011,39,36,27,30,2012-07-11,0,0000-00-00,26,2012-06-21,26,2012-06-22,0,0000-00-00,0,2012-10-02,11
2011,24,24,25,25,2012-09-18,0,0000-00-00,0,0000-00-00,25,2012-06-22,0,0000-00-00,0,0000-00-00,14
2011,39,36,24,22,2012-07-11,0,0000-00-00,25,2012-07-10,24,2012-06-22,0,0000-00-00,0,2012-11-22,13
2011,24,24,23,26,2012-06-19,0,0000-00-00,19,2012-09-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,13
2011,24,24,25,25,2012-07-31,0,0000-00-00,24,2012-07-25,0,0000-00-00,0,0000-00-00,0,0000-00-00,14
2011,24,24,24,0,0000-00-00,20,2012-09-24,0,0000-00-00,27,2012-06-22,0,0000-00-00,0,0000-00-00,17
2011,24,24,24,24,2012-07-11,0,0000-00-00,0,0000-00-00,23,2012-07-27,0,0000-00-00,0,0000-00-00,19
2011,15,12,25,25,2012-07-11,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2012-05-16,17
2011,12,12,24,0,0000-00-00,24,2012-06-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,14
2011,57,57,27,28,2012-07-11,27,2012-07-17,25,2012-07-10,30,2012-06-22,26,2012-06-14,0,0000-00-00,12
2011,24,24,25,27,2012-07-11,0,0000-00-00,23,2012-07-10,0,0000-00-00,0,0000-00-00,0,0000-00-00,14
2011,27,24,27,27,2012-06-19,0,0000-00-00,0,0000-00-00,26,2012-09-21,0,0000-00-00,0,2012-05-16,17
2011,27,24,24,27,2012-07-11,20,2012-06-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2012-03-27,12
2011,51,48,27,31,2012-06-19,25,2012-07-30,25,2012-06-21,26,2012-07-06,0,0000-00-00,0,2012-10-30,16
2011,24,24,25,27,2012-07-11,0,0000-00-00,22,2012-07-10,0,0000-00-00,0,0000-00-00,0,0000-00-00,17
2011,12,12,27,27,2012-07-11,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,12
2011,12,12,23,23,2012-06-19,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,18
2011,33,33,23,25,2012-07-11,0,0000-00-00,23,2012-07-10,0,0000-00-00,21,2012-08-01,0,0000-00-00,16
2011,48,48,27,30,2012-07-31,30,2012-07-10,22,2012-07-25,25,2012-09-21,0,0000-00-00,0,0000-00-00,12
2012,48,45,27,30,2013-06-20,0,0000-00-00,29,2013-07-18,28,2013-07-18,20,2013-09-11,0,2013-04-16,11
2012,36,36,25,24,2013-09-19,0,0000-00-00,30,2013-07-31,21,2013-09-05,0,0000-00-00,0,0000-00-00,12
2012,21,21,23,0,0000-00-00,0,0000-00-00,0,0000-00-00,26,2013-06-27,20,2013-07-31,0,0000-00-00,13
2012,51,48,29,30,2013-06-21,27,2013-07-24,31,2013-06-20,27,2013-09-05,0,0000-00-00,0,2013-04-16,11
2012,24,24,31,30,2013-07-11,0,0000-00-00,31,2013-07-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,14
2012,60,57,29,31,2013-06-20,24,2013-06-12,30,2013-06-20,31,2013-06-27,28,2013-07-30,0,2013-05-07,21
2012,60,57,28,30,2013-07-11,27,2013-06-12,31,2013-06-20,24,2013-09-05,28,2013-07-03,0,2013-02-05,16
2012,24,24,29,30,2013-09-19,0,0000-00-00,0,0000-00-00,28,2013-07-18,0,0000-00-00,0,0000-00-00,16
2012,60,57,27,31,2013-06-21,25,2013-07-08,27,2013-07-18,28,2013-07-18,24,2013-06-12,0,2013-04-16,16
2012,12,12,27,0,0000-00-00,0,0000-00-00,0,0000-00-00,27,2013-09-19,0,0000-00-00,0,0000-00-00,12
2012,12,12,27,0,0000-00-00,0,0000-00-00,0,0000-00-00,27,2013-07-18,0,0000-00-00,0,0000-00-00,14
2012,27,24,28,25,2013-06-21,0,0000-00-00,31,2013-07-18,0,0000-00-00,0,0000-00-00,0,2013-05-21,18
2012,48,45,26,30,2013-06-20,25,2013-09-19,30,2013-06-20,0,0000-00-00,20,2013-09-12,0,2013-04-09,20
2012,27,24,26,30,2013-07-26,0,0000-00-00,0,0000-00-00,22,2013-09-05,0,0000-00-00,0,2013-12-10,13
2012,36,36,25,28,2013-07-26,0,0000-00-00,26,2013-07-31,21,2013-09-05,0,0000-00-00,0,0000-00-00,10
2012,24,24,23,27,2013-09-19,0,0000-00-00,18,2013-09-13,0,0000-00-00,0,0000-00-00,0,0000-00-00,16
2012,36,36,23,27,2013-07-11,0,0000-00-00,18,2013-07-18,25,2013-09-05,0,0000-00-00,0,0000-00-00,16
2012,27,24,21,18,2013-09-19,0,0000-00-00,23,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-02-13,14
2012,48,48,30,31,2013-07-11,29,2013-06-12,31,2013-07-18,28,2013-09-05,0,0000-00-00,0,0000-00-00,12
2012,45,45,28,26,2013-07-11,0,0000-00-00,30,2013-07-31,29,2013-09-19,26,2013-09-11,0,0000-00-00,20
2012,36,36,31,30,2013-07-26,0,0000-00-00,31,2013-07-18,31,2013-06-27,0,0000-00-00,0,0000-00-00,12
2012,27,24,24,28,2013-07-26,0,0000-00-00,0,0000-00-00,20,2013-07-18,0,0000-00-00,0,2013-03-26,11
2012,60,57,30,31,2013-07-26,28,2013-06-12,31,2013-07-31,30,2013-09-05,30,2013-07-03,0,2013-03-05,19
2012,27,24,23,18,2013-07-11,0,0000-00-00,27,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-04-09,12
2012,12,12,20,0,0000-00-00,0,0000-00-00,0,0000-00-00,20,2013-07-18,0,0000-00-00,0,0000-00-00,13
